area,nord,sud,est,ovest
Abruzzo,42.8981,41.6844,14.7844,13.0239
Basilicata,41.1347,39.8988,16.8638,15.3486
Calabria,40.145,37.9139,17.2131,15.6311
Campania,41.5126,39.9983,15.6542,13.7533
Emilia-Romagna,45.1389,43.7381,12.7547,9.2014
Friuli-Venezia Giulia,46.6492,45.5603,13.9178,12.3197
Lazio,42.8392,41.2058,14.0289,11.7486
Liguria,44.6622,43.7847,10.0286,7.5258
Lombardia,46.6381,44.6811,11.4319,8.4961
Marche,43.9478,42.6806,13.9189,12.1644
Molise,42.0628,41.3811,15.1581,13.9886
Piemonte,46.4647,44.0622,9.2139,6.6267
Puglia,41.9042,39.7875,18.5203,14.9214
Sardegna,41.3108,38.86,9.8378,8.1333
Sicilia,38.8156,35.4928,15.6528,11.9428
Toscana,44.4722,42.2419,12.3739,9.6861
Trentino-Alto Adige,47.0917,45.6897,12.4725,10.435
Umbria,43.6167,42.3958,13.3028,11.875
Valle d'Aosta,45.9922,45.4742,7.9406,6.7972
Veneto,46.6547,44.7922,13.1072,10.6186
